Bakpia Pathuk,24500,3.7,Mie Ayam Tumini,Jl. Wates No.22,089123456789,9:00 - 22:00,"Varian bakpia dari Pathuk, Yogyakarta, yang terkenal dengan isian kacang hijau atau berbagai isian lainnya."
Tempe Mendoan,28000,3.1,Gudeg Pawon,Jl. Suryodiningratan No.21,089234567890,6:00 - 21:00,"Tempe tipis yang digoreng setengah matang dengan adonan tepung berbumbu, menghasilkan tekstur lembut."
Sate Buntel,38500,4.8,Resto Kopi Joss,Jl. Magelang No.6,081908123456,9:00 - 18:00,"Sate dari daging kambing cincang yang dibungkus dengan lemak kambing, kemudian dipanggang."
Bubur Ayam,23500,3.4,Lesehan Malioboro,Jl. Tamansiswa No.10,082289012345,9:00 - 23:00,"Bubur nasi yang disajikan dengan ayam suwir, kuah kuning, dan aneka topping seperti kerupuk dan bawang goreng."
Soto Betawi,44000,4.5,Es Dawet Bu Sum,Jl. Affandi No.5,081345678901,9:00 - 18:00,"Soto khas Betawi dengan kuah santan yang kaya rempah, berisi daging sapi atau jeroan."
Nasi Campur,23500,4.9,Wedang Bajigur Bu Sri,Jl. Gondomanan No.13,083289012345,10:00 - 19:00,"Hidangan nasi dengan beragam lauk pauk seperti ayam, telur, sambal, dan sayuran."
Kupat Tahu,42000,3.3,Wedang Tahu Pak Joe,Jl. Gejayan No.3,085789012345,6:00 - 19:00,"Hidangan tahu goreng yang disajikan dengan ketupat, sayuran, dan siraman bumbu kacang."
Sate Lilit,44000,4.0,Lesehan Malioboro,Jl. Tamansiswa No.10,082289012345,9:00 - 23:00,Sate khas Bali yang terbuat dari daging ikan atau ayam yang dililitkan pada batang serai dan dipanggang.
Wedang Serai,41000,3.6,Wedang Bajigur Bu Sri,Jl. Gondomanan No.13,083289012345,10:00 - 19:00,Minuman hangat dari serai dan jahe yang memberikan aroma segar dan rasa hangat di tubuh.
Es Dawet Ayu,36000,3.4,Mie Ayam Tumini,Jl. Wates No.22,089123456789,9:00 - 22:00,"Minuman es dengan cendol yang khas dari Banjarnegara, disajikan dengan gula merah dan santan."
Rendang,40500,4.0,Warung Angkringan Kopi Joss,Jl. Pakem-Turi No.2,081998123456,6:00 - 18:00,Masakan daging sapi khas Minang yang dimasak dengan santan dan rempah-rempah hingga kering dan kaya rasa.
Bubur Manado,44500,3.4,Soto Kadipiro,Jl. Parangtritis KM 7,087654321234,10:00 - 23:00,Bubur nasi khas Manado yang dicampur dengan berbagai sayuran dan disajikan dengan ikan asin.
Lontong Balap,20500,4.2,Mie Ayam Tumini,Jl. Wates No.22,089123456789,9:00 - 22:00,"Hidangan khas Surabaya yang terdiri dari lontong, tauge, tahu goreng, dan lentho, disajikan dengan kuah bening."
Sate Madura,20000,3.5,Sate Klathak Pak Pong,Jl. Kaliurang KM 5,082345678901,6:00 - 21:00,"Sate ayam khas Madura yang disajikan dengan bumbu kacang dan kecap, sering ditambah lontong."
Wedang Teki,44500,3.3,Angkringan Lek Man,Jl. Solo KM 3,081278901234,10:00 - 21:00,"Minuman hangat tradisional yang dibuat dari bahan-bahan alami seperti jahe dan pandan, populer di Jawa."
Wedang Jeruk,36000,5.0,Sate Klathak Pak Pong,Jl. Kaliurang KM 5,082345678901,6:00 - 21:00,Minuman hangat dari perasan jeruk yang disajikan dengan gula atau madu.
Es Blewah,22500,3.5,Warung Makan Sari Rasa,Jl. Cik Di Tiro No.19,087765432123,8:00 - 20:00,"Minuman es dengan buah blewah yang diserut, dicampur dengan sirup dan air es."
Arem-Arem,11000,3.9,Gudeg Pawon,Jl. Suryodiningratan No.21,089234567890,6:00 - 21:00,"Hidangan berupa nasi yang dibungkus daun pisang dan diisi dengan sayuran atau daging, lalu dikukus."
Karedok,24500,3.8,Warung Sate Kere,Jl. Monjali No.4,082178901234,9:00 - 22:00,Salad sayuran mentah khas Sunda dengan bumbu kacang yang segar dan pedas.
Ayam Penyet,37500,3.3,Mie Ayam Tumini,Jl. Wates No.22,089123456789,9:00 - 22:00,"Ayam goreng yang dipenyet dan disajikan dengan sambal pedas, biasanya disajikan dengan nasi."
Pecel Lele,46000,3.2,Resto Kopi Joss,Jl. Magelang No.6,081908123456,9:00 - 18:00,"Hidangan lele goreng yang disajikan dengan sambal dan lalapan, populer di warung kaki lima."
Es Teler,43500,3.9,Gudeg Pawon,Jl. Suryodiningratan No.21,089234567890,6:00 - 21:00,"Minuman es dengan campuran alpukat, kelapa muda, nangka, dan santan, disiram sirup manis."
Es Timun,42000,3.9,Wedang Bajigur Bu Sri,Jl. Gondomanan No.13,083289012345,10:00 - 19:00,"Minuman segar dari mentimun yang diserut, dicampur dengan sirup dan air es."
Es Jeruk,37500,4.0,Mie Ayam Tumini,Jl. Wates No.22,089123456789,9:00 - 22:00,"Minuman segar dari perasan jeruk manis yang disajikan dingin, sangat populer di Indonesia."
Es Sari Kelapa,47000,4.1,Wedang Tahu Pak Joe,Jl. Gejayan No.3,085789012345,6:00 - 19:00,Minuman es yang terbuat dari sari kelapa muda yang manis dan segar.
Sate Tempe,19500,4.6,Mie Ayam Tumini,Jl. Wates No.22,089123456789,9:00 - 22:00,Sate berbahan dasar tempe yang dipanggang dan disajikan dengan bumbu kecap atau bumbu kacang.
Nasi Bakar,38500,3.5,Warung Angkringan Kopi Joss,Jl. Pakem-Turi No.2,081998123456,6:00 - 18:00,"Nasi yang dibungkus daun pisang dan dibakar hingga harum, biasanya diisi dengan ayam, ikan, atau teri."
Sate Usus,36000,3.3,Sate Klathak Pak Pong,Jl. Kaliurang KM 5,082345678901,6:00 - 21:00,Sate berbahan dasar usus ayam yang dibumbui dan dipanggang hingga gurih.
Jus Mangga,47500,3.6,Sate Pak Jono,Jl. Sultan Agung No.7,081378901234,9:00 - 21:00,"Minuman segar dari mangga yang dihaluskan, sering disajikan dengan es atau susu."
Sate Sapi,21000,4.9,Angkringan Lek Man,Jl. Solo KM 3,081278901234,10:00 - 21:00,"Potongan daging sapi yang ditusuk pada batang bambu, kemudian dipanggang di atas bara api dengan bumbu kecap atau bumbu kacang."
Cumi Bakar,10500,3.7,Resto Kopi Joss,Jl. Magelang No.6,081908123456,9:00 - 18:00,"Cumi yang dipanggang hingga matang di atas bara api setelah direndam dalam bumbu khas seperti kecap manis, bawang putih, dan rempah-rempah."
